2024-07-25 20:36:32.222 [background-preinit] INFO  org.hibernate.validator.internal.util.Version : HV000001: Hibernate Validator 6.1.7.Final
2024-07-25 20:36:32.268 [main] INFO  datart.DatartServerApplication : Starting DatartServerApplication using Java 1.8.0_241 on bogon with PID 89432 (/Users/mamingjuan/Documents/psbc/科技数智化效能大屏/datart-1.0.0-rc.1/server/target/classes started by mamingjuan in /Users/mamingjuan/Documents/psbc/科技数智化效能大屏/datart-1.0.0-rc.1)
2024-07-25 20:36:32.269 [main] INFO  datart.DatartServerApplication : The following profiles are active: demo
2024-07-25 20:36:34.101 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2024-07-25 20:36:34.104 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data LDAP repositories in DEFAULT mode.
2024-07-25 20:36:34.247 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 128 ms. Found 0 LDAP repository interfaces.
2024-07-25 20:36:34.271 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2024-07-25 20:36:34.274 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-25 20:36:34.354 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 67 ms. Found 0 Redis repository interfaces.
2024-07-25 20:36:34.719 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$6457e230] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-07-25 20:36:34.775 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$66eb20d5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
